mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_17,mfcc_18,mfcc_19,mfcc_20,spectral_centroids,spectral_bandwidth,spectral_contrast,spectral_rolloff,meanfreq,maxfreq,tone_results,oc_results,tone_results,oc_results,tone_results,oc_results,tone_results,oc_results,tone_results,oc_results,tone_results,oc_results,tone_results,oc_results,tone_results,oc_results,tone_results,oc_results,tone_results,oc_results,tone_results,oc_results,tone_results,oc_results,tone_results,oc_results,label
-321.3224792,91.53729248,-37.71120071,1.36744535,-7.566615105,-16.78236198,-3.039127827,-15.05527496,-4.536519051,-10.44525433,-17.42650223,6.163826466,-8.680383682,-13.90980625,1.264638424,-12.73087788,-8.074995041,0.460758656,-11.96035862,-4.494158268,2781.397401,2339.584464,25.42669431,4983.28899,2752.579235,12798.42422,0,110,0,110,0,110,0,110,0,110,0,110,0,110,0,110,0,110,0,110,0,110,0,110,0,110,10cm-스토커
-330.4835205,89.53423309,-47.93357849,3.959729671,-11.8287468,-22.26903725,1.056642413,-18.21320343,-8.599985123,-7.103646755,-11.96256924,10.2398138,-4.955267906,-7.882330894,8.968079567,-7.120059013,-4.186563969,-0.466082454,-11.40614223,0.257436842,2802.86843,2007.022143,25.39211623,4787.8016,2780.661057,13768.97091,1,330,1,330,1,330,1,330,1,330,1,330,1,330,1,330,1,330,1,330,1,330,1,330,1,330,AKMU-DINOSAUR
-323.3017883,103.523056,-16.46667862,10.30169964,-20.44233894,-22.96261024,-0.372944236,-23.59642029,-11.97539902,-2.149315834,-12.55089283,-2.650536299,-15.47966671,-15.4790411,-4.996798992,-12.85904789,-4.06009531,-1.994532585,-6.610079288,7.031403542,2228.374139,1899.029496,27.4285193,3976.701134,2198.704022,11816.40753,1,175,1,175,1,175,1,175,1,175,1,175,1,175,1,175,1,175,1,175,1,175,1,175,1,175,FIFTY FIFTY-Cupid
-283.8661499,129.2608795,-67.11595154,31.15773201,-4.990323067,-23.11075211,14.22798252,-29.59997749,-8.719669342,6.087947369,-15.20276833,4.565367699,-13.39852142,-13.90246296,6.37762022,-14.59478092,-4.691967964,-2.312604427,-15.64497948,1.883486629,2793.104006,2115.161179,25.26030066,5258.302383,2786.621558,12332.9133,1,196,1,196,1,196,1,196,1,196,1,196,1,196,1,196,1,196,1,196,1,196,1,196,1,196,IVE-Kitsch
-345.7459106,72.39823151,-35.04627228,10.55989933,-12.60384274,-16.41238976,12.95651436,-19.19449997,-13.44515133,5.284959793,-11.90556717,-4.837605476,-5.079036236,-13.03348351,-4.530382633,-7.463706017,-1.45515871,8.022666931,2.885637283,5.291267872,2663.300714,2245.851334,26.21455225,4910.064649,2649.617462,13278.41413,0,147,0,147,0,147,0,147,0,147,0,147,0,147,0,147,0,147,0,147,0,147,0,147,0,147,M.C The Max-어디에도
-270.4614258,145.9016113,-19.39632797,-7.339526653,-1.93744719,-10.05180645,-3.639312267,-16.03806686,-15.93068123,-9.244235039,-13.66688347,-7.34319973,-8.820609093,-7.636991978,-6.39869976,-10.70225048,-4.239996433,-0.032398857,-5.084605217,0.170025408,1708.586006,1556.16796,24.72915366,3183.035753,1689.908441,12030.66894,0,175,0,175,0,175,0,175,0,175,0,175,0,175,0,175,0,175,0,175,0,175,0,175,0,175,MSG워너비(M.O.M)-듣고 싶을까
-406.2010193,74.0447998,-42.92019272,12.85863209,-8.267305374,-14.99813366,6.948336601,-16.52155304,-0.390925556,-0.907900214,-16.51104164,5.939941406,-5.73486042,-9.46716404,5.896983147,-10.649333,-2.136940002,7.298763752,-6.773857594,2.338320255,2959.752266,2133.280636,26.27688974,5008.959627,2930.347902,14441.75899,0,110,0,110,0,110,0,110,0,110,0,110,0,110,0,110,0,110,0,110,0,110,0,110,0,110,YB-잊을께
-325.0346985,98.03660583,-67.72046661,5.642894268,2.009972095,-24.77376175,-2.455756664,-16.1988945,-6.203757763,-2.056352615,-17.06688118,0.486874402,-5.700382233,-14.93163204,-1.303728819,-10.45767784,-10.59580421,-1.252925634,-6.662706375,-4.538887501,2490.433369,1827.119678,26.83669075,4268.439359,2469.218567,11088.05754,0,95,0,95,0,95,0,95,0,95,0,95,0,95,0,95,0,95,0,95,0,95,0,95,0,95,김연우-나와같다면
-346.4825745,73.10676575,-32.3774147,0.10785716,-32.38949966,1.098845482,-14.64098072,-4.614423275,-4.177596092,-6.032466412,-10.58340073,-4.729570389,-2.25783515,-11.83974838,-3.093222857,-5.198363781,-5.64950943,-1.915041089,3.684854746,-2.695081472,3915.17658,3716.742387,23.53471838,7460.804257,3915.17658,12369.90001,0,147,0,147,0,147,0,147,0,147,0,147,0,147,0,147,0,147,0,147,0,147,0,147,0,147,노라조-형
-349.6167603,96.48680115,-80.04033661,20.75728798,-7.190408707,-29.03030777,9.390303612,-23.42749405,-10.42465973,0.97006011,-12.42228508,5.548327923,-13.06977463,-15.39002991,3.248288155,-8.935495377,0.712888658,-3.979228973,-12.93021584,8.022284508,2965.283587,2029.293324,27.76019471,5146.76779,2959.893852,10684.88142,1,147,1,147,1,147,1,147,1,147,1,147,1,147,1,147,1,147,1,147,1,147,1,147,1,147,뉴진스-ditto
-252.7975616,129.5481873,-84.78983307,10.85659218,-22.89682198,-41.64705658,9.707801819,-24.69866943,-18.3902607,-6.707304478,-14.11284924,3.662090778,-22.5180645,-16.84774208,7.95048666,-16.17216492,-2.739855051,1.346983194,-15.21016026,7.721747398,2563.280544,1932.814737,28.63121423,4703.647722,2562.942648,13340.23287,1,175,1,175,1,175,1,175,1,175,1,175,1,175,1,175,1,175,1,175,1,175,1,175,1,175,뉴진스-Hypeboy
-340.9934082,87.59664154,-22.78636932,4.672807693,-5.350762844,-8.48584938,2.119488001,-13.59627342,-0.59565407,-4.189161777,-16.484478,3.272215128,-6.729637146,-13.77923107,-0.024213145,-8.093208313,-3.972735882,2.589656353,-5.650053978,1.752765536,2207.703399,2170.513034,25.17974565,4214.634769,2206.561823,12545.39927,0,175,0,175,0,175,0,175,0,175,0,175,0,175,0,175,0,175,0,175,0,175,0,175,0,175,더크로스-Don't Cry
-294.6364441,113.8348083,-68.65740204,6.048249245,-9.353559494,-24.48963547,-1.3806144,-28.11883545,-7.833207607,-7.102325439,-18.5021553,15.61096001,-6.41755867,-21.13938522,1.928488374,-13.11904621,-8.421756744,0.144123212,-10.56929493,4.926547527,2484.539312,2139.178539,26.79003903,4650.033427,2477.194339,12105.37531,0,124,0,124,0,124,0,124,0,124,0,124,0,124,0,124,0,124,0,124,0,124,0,124,0,124,데이식스-예뻤어
-284.6228027,119.6815262,-56.47551346,29.0064373,-11.77268028,-29.98762512,14.35329151,-22.42136955,-16.11512947,-2.662056923,-11.2328043,5.740995884,-15.07967758,-12.58137035,5.934357166,-14.413311,-2.789872646,1.442030311,-12.35400486,4.514287949,2744.739238,2077.969181,26.14553779,5045.600068,2737.504631,12379.07724,1,165,1,165,1,165,1,165,1,165,1,165,1,165,1,165,1,165,1,165,1,165,1,165,1,165,르세라핌-UNFORGIVEN
-330.5731812,87.08901215,-55.86371231,18.99012184,-5.643992424,-23.10665512,4.499283791,-17.11886978,-0.516397297,-1.087099195,-16.36179733,9.316053391,-6.521624565,-16.06549644,1.829167008,-6.912326813,4.459317684,10.99933815,-0.505698919,8.812168121,2707.767286,2226.033635,26.75611335,4988.680376,2699.459431,10647.09358,0,155,0,155,0,155,0,155,0,155,0,155,0,155,0,155,0,155,0,155,0,155,0,155,0,155,마크툽-오늘도 빛나는 너에게
-377.1895142,105.0834579,-37.28261185,8.729921341,-15.66823101,-19.47009087,8.454044342,-21.71227264,-6.241889,3.558578253,-18.70994759,-0.655793369,-4.084456444,-15.72646523,-3.192770958,-9.125623703,-8.647059441,-0.780748129,2.26167655,6.720217705,2162.41724,2154.704299,26.54251746,4184.592063,2151.138584,13882.99354,0,125,0,125,0,125,0,125,0,125,0,125,0,125,0,125,0,125,0,125,0,125,0,125,0,125,멜로망스-선물
-307.9850464,116.3167419,-28.91666031,7.583743572,7.083980083,-18.38126183,-5.711870193,-7.127991676,-4.294004917,-3.935412169,-7.777387619,-1.155319571,-8.626556396,-9.057696342,-3.335584879,-9.34228611,-5.223799229,-5.155723572,-5.362150192,2.968396187,1900.487615,1529.029915,25.40788525,3313.806011,1900.487615,8958.372838,0,130,0,130,0,130,0,130,0,130,0,130,0,130,0,130,0,130,0,130,0,130,0,130,0,130,박효신-야생화
-421.5745239,91.45052338,-57.68987274,8.873697281,-2.603552103,-22.10212326,-2.873441219,-17.18629837,-3.136353016,-11.23941898,-21.49542236,10.11950397,-6.464615345,-15.73005104,6.499475956,-9.532681465,-9.434378624,1.189229369,-8.519234657,-2.25369525,2746.747951,2115.358657,26.08489684,4832.675506,2701.017281,13347.59373,0,111,0,111,0,111,0,111,0,111,0,111,0,111,0,111,0,111,0,111,0,111,0,111,0,111,버즈-가시
-356.7287903,82.0618515,-43.27103806,28.73695374,-1.133022189,-11.03522396,13.19930363,-20.34567451,-0.940901935,1.290129781,-19.76577377,7.672796726,-3.50146246,-13.14593887,3.702556133,-9.860350609,-4.641029358,1.646744967,-8.002764702,0.826711535,3113.278796,2236.020537,26.27246721,5527.098525,3010.586737,11176.92969,0,90,0,90,0,90,0,90,0,90,0,90,0,90,0,90,0,90,0,90,0,90,0,90,0,90,스탠딩에그-오래된노래
-331.5690308,96.89549255,-43.22445679,-1.123638391,-17.09073639,-22.61554337,2.928174496,-18.83085251,-9.380742073,-0.933802068,-11.3136301,7.052535534,-2.134033918,-12.30969906,2.581798315,-1.321469545,0.118157111,4.137722492,-2.255592585,5.316326618,2523.369933,1895.330079,27.75638847,4352.181937,2518.261541,11455.96857,1,196,1,196,1,196,1,196,1,196,1,196,1,196,1,196,1,196,1,196,1,196,1,196,1,196,아이유-에잇
-349.321991,62.25522232,-44.84932709,4.841506481,-11.05592918,-24.92737961,4.508667469,-4.928696632,-4.984622002,-2.105384111,-6.591559887,-0.188989699,-10.97487068,-6.993003845,3.677540064,-6.142656803,0.570474029,1.150416851,-5.30625248,8.219861984,3096.86151,1969.503823,27.51773858,4982.927241,3089.920867,11537.91492,1,196,1,196,1,196,1,196,1,196,1,196,1,196,1,196,1,196,1,196,1,196,1,196,1,196,안예은-홍연
-285.7378845,126.4794998,-45.10949707,15.70082092,-2.632210732,-25.48681259,4.63322401,-15.23398113,-12.65557861,-1.466081381,-8.88893795,-0.565571547,-11.00527382,-9.693405151,0.406515837,-10.6299305,-2.905127048,-1.554417372,-9.200633049,3.526787519,2360.156421,1808.8147,24.9088602,4222.213773,2355.077782,13613.34696,1,175,1,175,1,175,1,175,1,175,1,175,1,175,1,175,1,175,1,175,1,175,1,175,1,175,에스파-도깨비불
-389.9143372,81.11038208,-57.29586411,5.387729168,-2.259632587,-23.57874298,-3.759697914,-14.58449364,-10.64596462,-11.94525051,-11.09200191,1.171634912,-19.50635529,-13.13453293,5.328112602,-6.506364822,6.469531059,10.75938129,-0.163689017,10.23277092,2690.784408,2341.182503,26.08762377,5043.007192,2682.890751,12272.26066,1,233,1,233,1,233,1,233,1,233,1,233,1,233,1,233,1,233,1,233,1,233,1,233,1,233,에일리-첫눈처럼 너에게 가겠다
-388.2069702,95.92368317,-75.46366882,4.017995358,-7.212865829,-33.58779526,0.348005354,-10.1850214,-10.33829117,-9.930841446,-7.900065422,5.405889988,-18.89339638,-14.33671379,4.369131565,-10.91042709,1.778214097,4.381381035,-5.803535938,15.3784914,2765.510892,1915.679536,26.62040807,4781.0287,2740.701782,12996.26623,1,233,1,233,1,233,1,233,1,233,1,233,1,233,1,233,1,233,1,233,1,233,1,233,1,233,윤하-비밀번호486
-249.5962219,90.1640625,-44.94726181,14.17157841,-25.08295059,2.773664713,-19.45336914,5.466614246,-3.989710808,-25.528265,15.44968224,-15.4694767,-8.510425568,-6.556208134,-9.492559433,9.971487999,2.018169641,13.40545464,6.732152939,9.4344244,3068.933508,2820.36682,29.06144583,6093.70037,3068.521681,9734.20567,1,294,1,294,1,294,1,294,1,294,1,294,1,294,1,294,1,294,1,294,1,294,1,294,1,294,윤하-사건의 지평선
-335.8106689,112.5862427,-50.93638992,16.63505554,-14.81733131,-24.04561996,7.907662868,-28.91404724,-13.4668541,-4.684223652,-22.63186455,-0.153573707,-11.04294586,-14.42895699,1.522585511,-13.87794495,-1.209561825,7.210021496,-5.029574394,9.057226181,2538.648175,2163.799379,25.41445531,4901.248433,2518.066542,12161.50939,0,123,0,123,0,123,0,123,0,123,0,123,0,123,0,123,0,123,0,123,0,123,0,123,0,123,charlie puth-dangerously
-300.7297058,118.2422867,-31.56199265,-2.694521427,-22.11741447,-23.11969376,4.084215641,-14.702775,-9.001895905,-8.352553368,-13.49416161,9.018701553,-3.919331074,-10.99215508,-0.575502455,-8.842561722,1.365846634,5.373263836,-7.281896591,2.471362591,2173.613999,1867.858927,26.77668051,3978.268339,2159.099048,10785.26289,0,110,0,110,0,110,0,110,0,110,0,110,0,110,0,110,0,110,0,110,0,110,0,110,0,110,charlie puth-I don't think that I like her
-344.7358093,90.25331116,-78.26869965,11.09917259,-12.12916374,-30.79569054,5.278844357,-17.92588425,-0.358666211,1.406074047,-19.13548279,5.217783928,-7.775649071,-14.45004463,5.140387535,-3.6974895,7.082705021,8.322731018,-2.587734699,11.75366497,3157.322443,2053.346461,25.59105473,5395.115079,3097.040587,11560.46861,1,466,1,466,1,466,1,466,1,466,1,466,1,466,1,466,1,466,1,466,1,466,1,466,1,466,체리필터-낭만고양이
-268.2912598,121.9186325,-58.69887543,10.77861214,-22.88342476,-29.11563683,10.21513176,-24.41181374,-7.635467529,0.484885782,-16.17028999,5.540031433,-10.91173267,-10.09730148,11.09033203,-6.484892368,4.012189865,7.456590652,-5.492154121,9.819559097,2401.374761,2017.961981,26.18384928,4432.662631,2398.927292,10907.95147,1,220,1,220,1,220,1,220,1,220,1,220,1,220,1,220,1,220,1,220,1,220,1,220,1,220,TWICE-I can't stop me
